"OBJECTID_1","OBJECTID","NAME","OWNER","TOWN","CLASS","CART_CL","ACRES","TYPE","GlobalID","TAX_ID","TNT_NAME","Nhood","Quad","LUCODE","LandUse","StNum","StName","YEARB","PNUMBR","WARD","SBL","TAX_ID2","TAX_ID3","TAX_ID4","TAX_ID5","TAX_ID6","TAX_ID7","Area_sqmi","Softball","Hardball","Soccer","T","FC","HC","H","HS","RS","Pool","Playground","Fieldhouse","GolfClubho","Bathouse","Pool_Mec","IceRink","Storage","Ball_Bldg","Rink_Bldg","Picnic_S","Greenhouse","Amphitheat","Gazebo","Rec_Bldg","Council_Di","Shape_Leng","Shape_Area","Park_Type"
26,155,"Demong Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.67097115,"C","{ECF5EE7D-D4D2-4786-B73A-0B2EB3E0AE7C}","31150000700000330400000000","Northside","Northside","NW","963","Parks","300","KIRKPATRICK ST & UNION PL","0000","0248002000","02","007.-33-40.0",NA,NA,NA,NA,NA,NA,0.00104837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",878.48776335,29226.7796107,"Median"
27,156,"Upper Union Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.3589227,"C","{28A7572D-3866-4797-9C32-4F5540B56BFA}","31150000700000340270000000","Northside","Northside","NW","963","Parks","1000","SALINA ST N & LODI ST","0000","0279107000","02","007.-34-27.0",NA,NA,NA,NA,NA,NA,0.000560806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",677.468164549,15634.3043262,"Median"
28,157,"Union Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.59130425,"C","{25198BD6-196E-4EFF-B436-9C3542858972}","31150000700000350350000000","Northside","Northside","NW","963","Parks","1001","SALINA ST N & KIRKPATRICK","0000","0279106900","02","007.-35-35.0",NA,NA,NA,NA,NA,NA,0.000923892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",808.733598958,25756.5391844,"PlayLotsFieldsCourts"
29,158,"Grosso Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.64006343,"C","{3C8A57F2-5733-43D5-B767-01E59E9CD5F3}","31150000700000130080000000","Northside","Washington Square","NW","963","Parks","1200","SALINA ST N & DANFORTH ST","0000","0279108700","02","007.-13-08.0",NA,NA,NA,NA,NA,NA,0.00100008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",873.715704902,27880.4870774,"Median"
30,159,"Bagg Place Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.05475852,"C","{4B458B1C-20B5-4D3C-9D0A-BCE51C0C8872}","31150010300000040010000000","Northside","Hawley-Green","NE","963","Parks","498","JAMES ST TO HAWLEY AVE","0000","0644000100","06","103.-04-01.0",NA,NA,NA,NA,NA,NA,8.55583e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",208.632740541,2385.21928418,"Median"
31,160,"Clinton Playground","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.47425731,"C","{88F41906-CAD6-47B0-B713-A8B2B03E9CD3}","31150001800000080120000000","Northside","Hawley-Green","NE","591","Recreation","501-19","LODI ST & GERTRUDE ST & C","1980","0653004900","06","018.-08-12.0",NA,NA,NA,NA,NA,NA,0.000741011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",597.529084518,20658.1061104,"PlayLotsFieldsCourts"
32,161,"Finnegan Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.09253333,"C","{14684249-DCA5-45CF-987F-38E88CC5A872}","31150001800000070050000000","Northside","Hawley-Green","NE","963","Parks","515","HAWLEY AVE & LODI ST","0000","0637007700","06","018.-07-05.0",NA,NA,NA,NA,NA,NA,0.00014458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",315.054064482,4030.64236095,"NaturalArea"
33,162,"Lewis Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",3.14165999,"C","{9CC55485-40C3-4F6F-B129-92829092D9AC}","31150011200000110020000000","Westside","Far Westside","NW","591","Recreation","825","MILTON AVE & LEWIS ST TO","1970","0761006800","07","112.-11-02.0",NA,NA,NA,NA,NA,NA,0.00490874,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"2",1746.83932462,136847.270437,"Neighborhood"
34,163,"Porter Playscape","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.72516072,"C","{F482D84A-E7D2-4B63-B87F-0FA76AA58C50}","31150011200000240100000000","Westside","Far Westside","NW","963","Parks","102","ERIE ST & EMERSON AVE","1965","0726201000","07","112.-24-10.0",NA,NA,NA,NA,NA,NA,0.00113304,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",720.931977008,31587.1914714,"PlayLotsFieldsCourts"
35,164,"Faldo Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.21467417,"C","{3C22DCBB-DC4F-4700-BB5E-6037D20CC914}","31150011100000140300000000","Westside","Tipp Hill","NW","963","Parks","501","MILTON AVE & GENESEE ST W","0000","0761003901","07","111.-14-30.0",NA,NA,NA,NA,NA,NA,0.000335422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",662.339650909,9350.98792874,"Median"
