OBJECTID,OID_,TAX_ID,Shape_Leng,FRONTFEET,DEPTH,ACRES,FFxDAcres,Shape_Acre,TAX_ID_1,SURA,SEIZB,TNT_NAME,Nhood,Quad,LUCODE,LandUse,Units,AmtDelinqu,TOTINT,YrsDelinqu,StNum,StName,Lvalue,Fvalue,CityTaxabl,STARS,STARC,STAR,YEARB,SALES,PNUMBR,WARD,SBL,CountyTXBL,SchoolTXBL,TOTSYR,TOTONO,INTSYR,INTONO,ACTRST,SENIOR_EXE,VET_EXEMPT
347,0,31150004600000170100000000,468.00021468,74.00000000,160.00000000,0.27000000,0.27180900,0.27181583,31150004600000170100000000,N, ,Eastside,University Hill,SE,613,Schools,0.00000000,0.00000000,0.00000000,0.00000000,744,OSTROM AVE,21800.00000000,200000.00000000,0.00000000,0.00000000,0.00000000, ,1960, ,1667004100,16,046.-17-10.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
348,0,31150004600000170070000000,384.00006289,52.00000000,140.00000000,0.17000000,0.16712580,0.16713000,31150004600000170070000000,N, ,Eastside,University Hill,SE,613,Schools,0.00000000,0.00000000,0.00000000,0.00000000,732,OSTROM AVE,17300.00000000,147600.00000000,0.00000000,0.00000000,0.00000000, ,1960, ,1667003800,16,046.-17-07.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
349,0,31150004000000050250000000,372.60502978,130.00000000,76.50000000,0.23000000,0.22830579,0.12289394,31150004000000050250000000,N, ,Eastside,Meadowbrook,SE,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,99,DEWITT RD,19900.00000000,19900.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,1722400100,17,040.-05-25.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
350,0,31150004600000060080000000,398.18862647,91.02000000,127.37000000,0.27000000,0.26614365,0.21450264,31150004600000060080000000,N, ,Eastside,Westcott,SE,512,Recreation,0.00000000,0.00000000,0.00000000,0.00000000,524-532,WESTCOTT ST,28000.00000000,300000.00000000,300000.00000000,300000.00000000,300000.00000000, ,1940, ,1795008000,17,046.-06-08.0,300000.00000000,300000.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
351,0,31150009600000140020000000,637.52007159,165.00000000,132.00000000,0.50000000,0.50000000,0.58235926,31150009600000140020000000,Y, ,Westside,Near Westside,NW,534,Recreation,0.00000000,0.00000000,0.00000000,0.00000000,201,SHONNARD ST,86300.00000000,330000.00000000,0.00000000,0.00000000,0.00000000, ,1940, ,1082002601,10,096.-14-02.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
352,0,31150009200000060240000000,637.14900702,100.00000000,155.00000000,0.36000000,0.35583104,0.46788532,31150009200000060240000000,Y, ,Westside,Near Westside,NW,642,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,504,DELAWARE ST & SABINE ST,29800.00000000,245000.00000000,245000.00000000,245000.00000000,245000.00000000, ,1965, ,1022006701,10,092.-06-24.0,245000.00000000,245000.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
353,0,31150004900000130040000000,579.61253007,129.30000000,83.50000000,0.25000000,0.24785468,0.46235208,31150004900000130040000000,N, ,Eastside,University Hill,SE,613,Schools,0.00000000,0.00000000,0.00000000,0.00000000,401,UNIVERSITY PL,80400.00000000,676800.00000000,0.00000000,0.00000000,0.00000000, ,1965, ,1692101400,16,049.-13-04.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
354,0,31150009800200010050020000,3416.31625648,364.00000000,329.00000000,8.58000000,2.74921947,8.57526458,31150009800200010050020000,N,Y,Westside,Tipp Hill,NW,614,Schools,0.00000000,1664469.54000000,472445.65000000,8.00000000,800,WILBUR AVE S REAR,1494100.00000000,6140000.00000000,6140000.00000000,6140000.00000000,6140000.00000000, ,0000, ,0896106101,08,098.2-01-05.2,6140000.00000000,6140000.00000000,1013943.83000000,650525.71000000,275693.53000000,196752.12000000, , , 
355,0,31150009800200030020000000,2915.58974301,800.00000000,653.82000000,12.01000000,12.00771350,11.07338915,31150009800200030020000000,N, ,Westside,Tipp Hill,NW,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,300,AVERY AVE S & SALISBURY R,264900.00000000,264900.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,0804101200,08,098.2-03-02.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
356,0,31150010200000130060000000,575.17657447,80.00000000,158.00000000,0.29000000,0.29017447,0.32482392,31150010200000130060000000,N, ,Downtown,Downtown,SE,612,Schools,0.00000000,0.00000000,0.00000000,0.00000000,424-26,MONTGOMERY ST & MADISON S,210800.00000000,410000.00000000,0.00000000,0.00000000,0.00000000, ,1960, ,0962001201,09,102.-13-06.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
357,0,31150010000000170010000000,1396.19564472,399.81000000,298.04000000,2.74000000,2.73552278,2.73726612,31150010000000170010000000,Y, ,Westside,Near Westside,NW,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,500,TULLY ST & TIOGA ST & OTI,89800.00000000,126600.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,0891105700,08,100.-17-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
358,0,31150010200000070060000000,1192.65831311,155.00000000,462.53000000,1.65000000,1.64582530,1.53981231,31150010200000070060000000,N, ,Downtown,Downtown,SE,652,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,505,STATE ST S & MCCARTHY AVE,1432200.00000000,16200000.00000000,0.00000000,0.00000000,0.00000000, ,2002, ,1586001801,15,102.-07-06.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
359,0,31150010100000190010010000,560.18024253,132.00000000,148.50000000,0.45000000,0.45000000,0.44868595,31150010100000190010010000,Y, ,Westside,Near Westside,NW,662,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,601,WEST ST S & FABIUS ST,54000.00000000,1200000.00000000,0.00000000,0.00000000,0.00000000, ,1996, ,0895004001,08,101.-19-01.1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
