"Status","Score","Match_type","Match_addr","Side","Ref_ID","User_fld","Addr_type","ARC_Street","ARC_City","ARC_State","ARC_ZIP","Status_1","Score_1","Match_ty_1","Match_ad_1","Side_1","Ref_ID_1","User_fld_1","Addr_typ_1","ARC_Stre_1","ARC_City_1","ARC_ZIP_1","Supermarke","Location","City","State","ZipCode","coords.x1","coords.x2"
"M",87.14,"M","1605 Erie Blvd E, Syracuse, 36, 13210","L",477435436,"0","StreetAddress",NA,NA,"NEW YORK",NA,"M",90.87,"A","1605 Erie Blvd, Syracuse, 13210","L",477435436,"0","StreetAddress","1605 ERIE BLVD E.","SYRACUSE","13210","Price Rite - Syracuse","1605 Erie Blvd E.","Syracuse","36",13210,408514.583075343,4766920.38041345
"M",87.14,"A","2120 W Genesee St, Syracuse, 36, 13219","R",477436001,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","2120 W Genesee St, Syracuse, 13219","R",477436001,"0","StreetAddress","2120 W Genesee St.","Syracuse","13219","Tops - W Genesee","2120 W Genesee St.","Syracuse","New York",13219,402491.611433546,4766861.6354357
"M",87.14,"A","5933 S Salina St, Syracuse, 36, 13205","L",477447414,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","5933 S Salina St, Syracuse, 13205","L",477447414,"0","StreetAddress","5933 S Salina St.","Syracuse","13205","Green Hills Farm Stand","5933 S Salina St.","Syracuse","New York",13205,406791.699519757,4759681.6546998
"M",82.32,"M","6789 E Genesee St, Fayetteville, 36, 13066","L",477441069,"0","StreetAddress",NA,NA,"NEW YORK",NA,"M",94.37,"A","6789 E Genesee St, Fayetteville, 13066","L",477441069,"0","StreetAddress","6789 E GENESEE ST.","SYRACUSE","13066","Wegmans - DeWitt","6789 E Genesee St.","Fayetteville","36",13066,414252.792586593,4764824.35967192
"M",87.14,"M","3514 W Genesee St, Syracuse, 36, 13219","R",477435899,"0","StreetAddress",NA,NA,"NEW YORK",NA,NA,0,NA,NA,NA,0,NA,NA,"3514 W GENESEE ST","SYRACUSE","13219","Green Planet Grocery","3514 W Genesee St","Syracuse","36",13219,399550.426246643,4766901.29223187
"M",87.14,"A","4141 S Salina St, Syracuse, 36, 13205","L",477444880,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","4141 S Salina St, Syracuse, 13205","L",477444880,"0","StreetAddress","4141 South Salina St.","Syracuse","13205","Tops - Valley Plaza","4141 South Salina St.","Syracuse","New York",13205,406881.935423441,4762389.43400345
"M",87.14,"A","4713 Onondaga Blvd, Syracuse, 36, 13219","L",477440641,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","4713 Onondaga Blvd, Syracuse, 13219","L",477440641,"0","StreetAddress","4713 Onondaga Blvd.","Syracuse","13219","Price Chopper - Western Lights","4713 Onondaga Blvd.","Syracuse","New York",13219,402812.257547627,4765129.12933807
"M",87.14,"A","3325 W Genesee St, Syracuse, 36, 13219","L",477435793,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","3325 W Genesee St, Syracuse, 13219","L",477435793,"0","StreetAddress","3325 West Genesee Street","Syracuse","13219","Wegmans - Fairmount","3325 West Genesee Street","Syracuse","New York",13219,400132.414122101,4766895.58342252
"M",86.27,"A","3803 Brewerton Rd, Syracuse, 36, 13212","L",477421859,"0","StreetAddress",NA,NA,"New York",NA,"M",98.98,"A","3803 Brewerton Rd, Syracuse, 13212","L",477421859,"0","StreetAddress","3803 Brewerton Rd.","North Syracuse","13212","Tops - North Syracuse","3803 Brewerton Rd.","North Syracuse","New York",13212,407030.919814686,4774899.19474521
"M",86.27,"A","3512 Brewerton Rd, Syracuse, 36, 13212","R",513531356,"0","StreetAddress",NA,NA,"New York",NA,"M",98.98,"A","3512 Brewerton Rd, Syracuse, 13212","R",513531356,"0","StreetAddress","3512 Brewerton Rd.","North Syracuse","13212","Aldi - North Syracuse","3512 Brewerton Rd.","North Syracuse","New York",13212,406734.717482927,4773983.67384085
"M",87.14,"A","4722 Onondaga Blvd, Syracuse, 36, 13219","R",477440641,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","4722 Onondaga Blvd, Syracuse, 13219","R",477440641,"0","StreetAddress","4722 Onondaga Blvd.","Syracuse","13219","Wegmans - Onondaga","4722 Onondaga Blvd.","Syracuse","New York",13219,402826.500246292,4765122.33990772
"M",87.14,"M","2515 Erie Blvd E, Syracuse, 36, 13224","L",477433639,"0","StreetAddress",NA,NA,"NEW YORK",NA,"M",90.87,"A","2515 Erie Blvd, Syracuse, 13224","L",477433639,"0","StreetAddress","2515 ERIE BLVD. E","SYRACUSE","13224","Price Chopper - Erie Blvd.","2515 Erie Blvd. E","Syracuse","36",13224,410202.402487465,4767405.0656244
"M",87.14,"A","3657 W Genesee St, Syracuse, 36, 13219","L",477436227,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","3657 W Genesee St, Syracuse, 13219","L",477436227,"0","StreetAddress","3657 W. Genesee St.","Syracuse","13219","Target - Camillus","3657 W. Genesee St.","Syracuse","New York",13219,399198.539822103,4766795.19586689
"M",87.14,"M","2015 Erie Blvd E, Syracuse, 36, 13224","L",477434678,"0","StreetAddress",NA,NA,"NEW YORK",NA,"M",90.87,"A","2015 Erie Blvd, Syracuse, 13224","L",477434678,"0","StreetAddress","2015 ERIE BLVD. E","SYRACUSE","13224","Aldi - Syracuse","2015 Erie Blvd. E","Syracuse","36",13224,409220.957175296,4767138.36314951
"M",82.24,"M","4410 E Genesee St, Syracuse, 36, 13214","R",507665434,"0","StreetAddress",NA,NA,"NEW YORK",NA,"M",94.28,"A","4410 E Genesee St, Syracuse, 13214","R",507665434,"0","StreetAddress","4410 E GENESEE ST.","DEWITT","13214","Tops - DeWitt","4410 E Genesee St.","Syracuse","36",13214,413032.036189927,4765269.89479793
