"TRACT","YEAR","NPOS_SUM"
"36067004500","2011","1"
"36067004600","2011","0"
"36067004800","2011","0"
"36067004900","2011","0"
"36067005000","2011","0"
"36067005100","2011","0"
"36067005200","2011","0"
"36067005300","2011","0"
"36067005400","2011","0"
"36067005500","2011","0"
"36067005601","2011","0"
"36067005602","2011","0"
"36067005700","2011","0"
"36067005800","2011","0"
"36067005900","2011","0"
"36067006000","2011","0"
"36067006101","2011","0"
"36067006102","2011","0"
"36067006103","2011","0"
"36067000100","2013","0"
"36067000200","2013","0"
"36067000300","2013","0"
"36067000400","2013","0"
"36067000501","2013","0"
"36067000600","2013","0"
"36067000800","2013","0"
"36067000900","2013","0"
"36067001000","2013","0"
"36067001500","2013","0"
"36067001600","2013","1"
"36067001702","2013","0"
"36067001800","2013","0"
"36067001900","2013","1"
"36067002000","2013","0"
"36067002101","2013","0"
"36067002300","2013","1"
"36067002400","2013","0"
"36067002700","2013","0"
"36067002901","2013","0"
"36067003000","2013","0"
"36067003200","2013","7"
"36067003400","2013","3"
"36067003500","2013","1"
"36067003601","2013","0"
"36067003602","2013","0"
"36067003800","2013","1"
"36067003900","2013","0"
"36067004000","2013","0"
"36067004200","2013","1"
"36067004301","2013","0"
"36067004302","2013","0"
"36067004400","2013","0"
"36067004500","2013","3"
"36067004600","2013","0"
"36067004800","2013","0"
"36067004900","2013","0"
"36067005000","2013","1"
"36067005100","2013","1"
"36067005200","2013","1"
"36067005300","2013","0"
"36067005400","2013","0"
"36067005500","2013","0"
"36067005601","2013","0"
"36067005602","2013","0"
"36067005700","2013","0"
"36067005800","2013","0"
"36067005900","2013","0"
"36067006000","2013","0"
"36067006101","2013","0"
"36067006102","2013","0"
"36067006103","2013","0"
"36067000100","2014","11"
"36067000200","2014","1"
"36067000300","2014","2"
"36067000400","2014","0"
"36067000501","2014","3"
"36067000600","2014","1"
"36067000800","2014","1"
"36067000900","2014","2"
"36067001000","2014","3"
"36067001500","2014","1"
"36067001600","2014","15"
"36067001702","2014","1"
"36067001800","2014","1"
"36067001900","2014","4"
"36067002000","2014","0"
"36067002101","2014","6"
"36067002300","2014","9"
"36067002400","2014","1"
"36067002700","2014","0"
"36067002901","2014","7"
"36067003000","2014","2"
"36067003200","2014","49"
"36067003400","2014","8"
"36067003500","2014","10"
"36067003601","2014","1"
"36067003602","2014","0"
"36067003800","2014","4"
"36067003900","2014","2"
"36067004000","2014","1"
"36067004200","2014","9"
"36067004301","2014","9"
"36067004302","2014","6"
"36067004400","2014","0"
"36067004500","2014","8"
"36067004600","2014","12"
"36067004800","2014","0"
"36067004900","2014","1"
"36067005000","2014","4"
"36067005100","2014","2"
"36067005200","2014","3"
"36067005300","2014","3"
"36067005400","2014","2"
"36067005500","2014","2"
"36067005601","2014","1"
"36067005602","2014","1"
"36067005700","2014","2"
"36067005800","2014","0"
"36067005900","2014","2"
"36067006000","2014","1"
"36067006101","2014","21"
"36067006102","2014","1"
"36067006103","2014","4"
"36067000100","2015","42"
"36067000200","2015","4"
"36067000300","2015","4"
"36067000400","2015","6"
"36067000501","2015","8"
"36067000600","2015","2"
"36067000800","2015","3"
"36067000900","2015","8"
"36067001000","2015","14"
"36067001500","2015","2"
"36067001600","2015","102"
"36067001702","2015","6"
"36067001800","2015","4"
"36067001900","2015","9"
"36067002000","2015","2"
"36067002101","2015","20"
"36067002300","2015","24"
"36067002400","2015","4"
"36067002700","2015","1"
"36067002901","2015","18"
"36067003000","2015","14"
"36067003200","2015","144"
"36067003400","2015","22"
"36067003500","2015","40"
"36067003601","2015","8"
"36067003602","2015","2"
"36067003800","2015","13"
"36067003900","2015","7"
"36067004000","2015","5"
"36067004200","2015","23"
"36067004301","2015","30"
"36067004302","2015","39"
"36067004400","2015","2"
"36067004500","2015","19"
"36067004600","2015","36"
"36067004800","2015","1"
"36067004900","2015","2"
"36067005000","2015","12"
"36067005100","2015","4"
"36067005200","2015","8"
"36067005300","2015","9"
"36067005400","2015","9"
"36067005500","2015","5"
"36067005601","2015","3"
"36067005602","2015","3"
"36067005700","2015","9"
"36067005800","2015","1"
"36067005900","2015","4"
"36067006000","2015","6"
"36067006101","2015","48"
"36067006102","2015","2"
"36067006103","2015","18"
"36067000100","2016","73"
"36067000200","2016","7"
"36067000300","2016","6"
"36067000400","2016","12"
"36067000501","2016","13"
"36067000600","2016","3"
"36067000800","2016","5"
"36067000900","2016","14"
"36067001000","2016","26"
"36067001500","2016","3"
"36067001600","2016","196"
"36067001702","2016","11"
"36067001800","2016","7"
"36067001900","2016","14"
"36067002000","2016","4"
"36067002101","2016","34"
"36067002300","2016","39"
"36067002400","2016","7"
"36067002700","2016","2"
"36067002901","2016","29"
"36067003000","2016","26"
"36067003200","2016","240"
"36067003400","2016","36"
"36067003500","2016","71"
"36067003601","2016","15"
"36067003602","2016","4"
"36067003800","2016","22"
"36067003900","2016","12"
"36067004000","2016","9"
"36067004200","2016","37"
"36067004301","2016","51"
"36067004302","2016","74"
"36067004400","2016","5"
"36067004500","2016","30"
"36067004600","2016","63"
"36067004800","2016","2"
"36067004900","2016","4"
"36067005000","2016","20"
"36067005100","2016","6"
"36067005200","2016","13"
"36067005300","2016","15"
"36067005400","2016","16"
"36067005500","2016","8"
"36067005601","2016","6"
"36067005602","2016","5"
"36067005700","2016","16"
"36067005800","2016","2"
"36067005900","2016","6"
"36067006000","2016","11"
"36067006101","2016","76"
"36067006102","2016","3"
"36067006103","2016","32"
