"TRACT","NPO_SECTOR","NEW_NPOS"
"36067003400","MU",0
"36067003500","MU",0
"36067003601","MU",0
"36067003602","MU",0
"36067003800","MU",0
"36067003900","MU",0
"36067004000","MU",0
"36067004200","MU",0
"36067004301","MU",0
"36067004302","MU",0
"36067004400","MU",0
"36067004500","MU",0
"36067004600","MU",0
"36067004800","MU",0
"36067004900","MU",0
"36067005000","MU",0
"36067005100","MU",0
"36067005200","MU",0
"36067005300","MU",0
"36067005400","MU",0
"36067005500","MU",0
"36067005601","MU",0
"36067005602","MU",0
"36067005700","MU",0
"36067005800","MU",0
"36067005900","MU",0
"36067006000","MU",0
"36067006101","MU",1
"36067006102","MU",0
"36067006103","MU",0
"36067000100","PU",6
"36067000200","PU",0
"36067000300","PU",0
"36067000400","PU",0
"36067000501","PU",0
"36067000600","PU",0
"36067000800","PU",0
"36067000900","PU",1
"36067001000","PU",2
"36067001500","PU",0
"36067001600","PU",9
"36067001702","PU",1
"36067001800","PU",1
"36067001900","PU",2
"36067002000","PU",0
"36067002101","PU",2
"36067002300","PU",4
"36067002400","PU",1
"36067002700","PU",0
"36067002901","PU",2
"36067003000","PU",1
"36067003200","PU",29
"36067003400","PU",2
"36067003500","PU",4
"36067003601","PU",1
"36067003602","PU",1
"36067003800","PU",0
"36067003900","PU",1
"36067004000","PU",0
"36067004200","PU",2
"36067004301","PU",4
"36067004302","PU",8
"36067004400","PU",2
"36067004500","PU",3
"36067004600","PU",2
"36067004800","PU",0
"36067004900","PU",0
"36067005000","PU",3
"36067005100","PU",1
"36067005200","PU",0
"36067005300","PU",2
"36067005400","PU",4
"36067005500","PU",0
"36067005601","PU",0
"36067005602","PU",0
"36067005700","PU",1
"36067005800","PU",0
"36067005900","PU",0
"36067006000","PU",1
"36067006101","PU",1
"36067006102","PU",0
"36067006103","PU",4
"36067000100","RE",1
"36067000200","RE",1
"36067000300","RE",0
"36067000400","RE",1
"36067000501","RE",1
"36067000600","RE",0
"36067000800","RE",1
"36067000900","RE",0
"36067001000","RE",0
"36067001500","RE",0
"36067001600","RE",5
"36067001702","RE",0
"36067001800","RE",0
"36067001900","RE",0
"36067002000","RE",0
"36067002101","RE",1
"36067002300","RE",0
"36067002400","RE",0
"36067002700","RE",0
"36067002901","RE",0
"36067003000","RE",0
"36067003200","RE",3
"36067003400","RE",1
"36067003500","RE",0
"36067003601","RE",0
"36067003602","RE",0
"36067003800","RE",1
"36067003900","RE",0
"36067004000","RE",1
"36067004200","RE",0
"36067004301","RE",0
"36067004302","RE",1
"36067004400","RE",0
"36067004500","RE",0
"36067004600","RE",2
"36067004800","RE",0
"36067004900","RE",0
"36067005000","RE",2
"36067005100","RE",0
"36067005200","RE",1
"36067005300","RE",1
"36067005400","RE",0
"36067005500","RE",1
"36067005601","RE",1
"36067005602","RE",0
"36067005700","RE",0
"36067005800","RE",1
"36067005900","RE",0
"36067006000","RE",0
"36067006101","RE",1
"36067006102","RE",0
"36067006103","RE",3
